33226224_635.cml_Service_messages_0	Service messages	"Service messages."
33226868_632.cml_Filtering_the_message_list_0	Filtering the message list	"The message list can be filtered when more than one type of message exists. Filtering can consist of a combination of the message type and the message status.
On the Control Display:
1.  Filter: 
2. Select the type of message.
-  All messages 
All messages are displayed.
-  Text message 
Only text messages from the mobile phone are displayed.
-  E-mail 
Only e-mails from the mobile phone are displayed.
-  Service messages 
Only service messages are displayed.Select message status.
-  Unread 
Only unread messages are displayed.
-  Since starting trip 
Text messages and e-mails that have been received since the start of the trip are displayed.
-  All 
All messages are displayed."
33226975_606.cml_Office_information_0	Office information	"The number of unread messages and active tasks as well as the upcoming appointments are displayed.
On the Control Display:
1.  Office 
2.  Current office 
3. Select the desired entry to display details."
33227223_630.cml_General_information_0	General information	"Messages are only displayed in full length when the vehicle is stationary."
33227223_653.cml_General_information_0	General information	"Messages are only displayed in full length when the vehicle is stationary."
33227348_792.cml_Contacts_0	Contacts	"Function
Command
Address book, open A-Z search.
 Choose name 
 My contacts , Open the menu.
 My contacts 
 New contact , Open the menu.
 New contact "
33227385_577.cml_Activating/deactivating_Bluetooth_0	Activating/deactivating Bluetooth	"On the Control Display:
1.  Settings 
2.  Connections 
3.  Bluetooth  
4.  Bluetooth  "
33227406_570.cml_The_concept_0	The concept	"Mobile phones or other external devices such as audio players can be connected to the vehicle via Bluetooth.
After these devices are paired once, they are recognized automatically when the ignition is switched on. As soon as they are inside the vehicle, they can be operated via iDrive, the buttons on the steering wheel, and via voice activation. After these devices are paired once, they are recognized automatically when the radio-ready state is switched on. As soon as they are inside the vehicle, they can be operated via iDrive, the buttons on the steering wheel, and via voice activation."
33227424_602.cml_General_information_0	General information	"Information about which mobile phones support Office functions can be found at www.bmw.com/bluetooth. Information about which mobile phones support Office functions can be found at www.bmwusa.com/bluetooth. A limited number of compatible mobile phones is available for Office. Contents are only displayed in full length when the vehicle is stationary."
33227431_495.cml_Points_of_interestCharging_stations_and_Points_of_Interest_0	Points of interest Charging stations and Points of Interest	"General information

 Even with the most current navigation data, information regarding particular Points of Interest may have changed. For instance, certain gas stations may not be operating. Even with the most current navigation data, information regarding particular Points of Interest may have changed. For instance, certain charging stations may not be operating."
33227431_495.cml_Points_of_interestCharging_stations_and_Points_of_Interest_1	Points of interest Charging stations and Points of Interest	"Find Points of Interest

 To select Points of Interest, for example, gas stations or tourist attractions: To select Points of Interest, for example, charging stations or tourist attractions: To select Points of Interest, for example, gas stations or charging stations or tourist attractions: 1.  Navigation 
2.  Points of Interest 
3. Select the search function.
-  Online search 
-  Online search 
-  Keyword search 
-  Category search 
- Search via preferred Points of Interest categories.Online Search

 1.  Online search 
2.  City 
Select or enter the town/city.
3.  Keyword 
4. Enter the keyword.
Suggestions are displayed.
5. Select a suggestion.
A list of the Points of Interest is displayed.
6.  Search area .
The search location can be modified as needed.
7. Select a Point of Interest.
Details are displayed.
If multiple details are stored, you can browse through the tables.
If a phone number is available, a connection can be established if needed.
8. Select the symbol.
 Start guidance  or  Add as another dest. 
Add a destination as another destination. Online Search

 1.  Online search 
2. Select a Point of Interest.
3. Select the symbol.
4.  Start guidance  A-Z search

 1.  Keyword search 
2.  City 
Select or enter the town/city.
3.  Category 
4. Select the category.
5.  Category details 
Some Points of Interest permit selection of multiple category details. Move the Controller to the left to leave the category details.
6.  Keyword 
7. Enter the keyword.
A list of the Points of Interest is displayed.
Open charging stations.
8. Select a Point of Interest.
Details are displayed.
If multiple details are stored, you can browse through the tables.
- Establish a phone connection.
- Additional information to some Points of Interest via BMW Online.
- Store Points of Interest as contact in the address book.
9. Select the symbol.
 Start guidance  or  Add as another dest. 
Add a destination as another destination. Start search : if a search term is not entered, the search is repeated with the previous search term. A-Z search

 1.  Keyword search 
2. Select the location at which the Points of Interest search is to be conducted.
-  At current location 
-  At destination 
-  At different location 
-  Along route 
3. Enter a search term.
4.  OK 
A list of the Points of Interest is displayed.
The Points of Interest can be sorted alphabetically or by distance. Open charging stations.
5. Select a Point of Interest.
Details are displayed.
If multiple details are stored, you can browse through the tables.
- Establish a phone connection.
- Additional information to some Points of Interest via BMW Online.
- Store Points of Interest as contact in the address book.
6. Select the symbol.
 Start guidance  or  Add as another dest. 
Add a destination as another destination. Start search : if a search term is not entered, the search is repeated with the previous search term. Category search

 1.  Category search 
2.  City 
Select or enter the town/city.
3.  Category 
4. Select the category.
5.  Category details 
Some Points of Interest permit selection of multiple category details. Move the Controller to the left to leave the category details.
6.  Start search 
A list of the Points of Interest is displayed.
Open charging stations.
7. Select a Point of Interest.
Details are displayed.
If multiple details are stored, you can browse through the tables.
- Establish a phone connection.
- Additional information to some Points of Interest via BMW Online.
- Store Points of Interest as contact in the address book.
8. Select the symbol.
 Start guidance  or  Add as another dest. 
Add a destination as another destination. Category search

 1.  Category search 
2. Select the location at which the Points of Interest search is to be conducted.
-  At current location 
-  At destination 
-  At different location 
-  Along route 
3.  All categories  or select preferred Point of Interest category.
4. If necessary, select category details.
A list of the Points of Interest is displayed.
The Points of Interest can be sorted alphabetically or by distance. The list can be narrowed down via an index search.
Open charging stations.
5. Select a Point of Interest.
Details are displayed.
If multiple details are stored, you can browse through the tables.
- Establish a phone connection.
- Additional information to some Points of Interest via BMW Online.
- Store Points of Interest as contact in the address book.
6. Select the symbol.
 Start guidance  or  Add as another dest. 
Add a destination as another destination. Preferred Point of Interest categories

 Those Point of Interest categories are displayed which have been most frequently sought after.
When destination guidance is activated, Points of Interest along the route are shown. If destination guidance is not activated, Points of Interest in the vicinity are shown.
The preferred Point of Interest categories are also offered in the function bar in the map view."
33227431_495.cml_Points_of_interestCharging_stations_and_Points_of_Interest_2	Points of interest Charging stations and Points of Interest	"Display of Points of Interest

 List of Points of Interest: Points of Interest are organized by distance and they are displayed with a directional arrow to the Point of Interest. List of the Points of Interest: Points of Interest can be sorted alphabetically by name or by the distance. An arrow points out the direction to the Point of Interest. The display depends on the scale of the map and the category."
33227431_495.cml_Points_of_interestCharging_stations_and_Points_of_Interest_3	Points of interest Charging stations and Points of Interest	"Charging station display 

 There are two different symbols for charging stations in map view: - General charging stations.
- BMW i Partner charging stations, ChargeNow card required. Depending on the equipment, the country-specific version and available online data, a colored symbol designates the utilization of the charging station.
- Green: charging station is available.
- Yellow: several charging stations exist, partly occupied.
- Red: charging station is occupied.Even with the most up-to-date online data, the information on the utilization of the charging station may have changed."
33227431_495.cml_Points_of_interestCharging_stations_and_Points_of_Interest_4	Points of interest Charging stations and Points of Interest	"Displaying Points of Interest on the map

 The Point of Interest categories can be displayed on the map as symbols.
Select categories:
1.  Navigation 
2.  Map 
3. Open  Options .
4.  Display Points of Interest 
5. Select setting.
-  All 
-  None 
-  Custom  1.  Navigation 
2.  Map 
3.  Map content 
4.  Additional settings 
5.  Display Points of Interest 
6. Select setting.
-  All 
-  None 
-  Custom : categories can be preselected. The display in the map view can be switched on and off The display in the map view can be switched on and off ."
33227602_598.cml_Hands-free_system_0	Hands-free system	"General information

 Calls that are being made on the hands-free system can be continued on the mobile phone and vice versa."
33227602_598.cml_Hands-free_system_1	Hands-free system	"From the mobile phone to the hands-free system

 Calls that were begun outside of the Bluetooth range of the vehicle can be continued on the hands-free system with the ignition switched on. Calls that were begun outside of the Bluetooth range of the vehicle can be continued on the hands-free system with the radio-ready state switched on. Depending on the mobile phone, the system automatically switches to the hands-free system.
If the system does not switch over automatically, follow the instructions on the mobile phone display; refer also to the mobile phone owner's manual."
33227602_598.cml_Hands-free_system_2	Hands-free system	"From the hands-free system to the mobile phone

 Calls that are made on the hands-free system can in some cases be continued on the mobile phone; this depends on the mobile phone.
Follow the instructions on the mobile phone display; refer also to the mobile phone owner's manual."
33227784_646.cml_My_contacts_0	My contacts	"General information

 List of all contacts stored in the vehicle."
