33483616_1009.cml_Wheels_and_tires_0	Wheels and tires	"Repairing a flat tire

 Safety measures

 - Park the vehicle as far away as possible from passing traffic and on solid ground.
- Switch on the hazard warning system.
- Secure the vehicle against rolling away by setting the parking brake.
- Turn the steering wheel until the front wheels are in the straight-ahead position and engage the steering wheel lock.
- Have all vehicle occupants get out of the vehicle and ensure that they remain outside the immediate area in a safe place, such as behind a guardrail.
- If necessary, set up a warning triangle at an appropriate distance."
33483616_1009.cml_Wheels_and_tires_1	Wheels and tires	"Mobility System

 The concept

 With the Mobility System, minor tire damage can be sealed temporarily to enable continued travel. To accomplish this, sealant is pumped into the tires, which seals the damage from the inside.
The compressor can be used to check the tire inflation pressure.
Information

 - Follow the instructions on using the Mobility System found on the compressor and sealant container.
- Use of the Mobility System may be ineffective if the tire puncture measures approx. 1/8 inches/4 mm or more.
- Contact a dealer's service center or another qualified service center or repair shop if the tire cannot be made drivable.
- If possible, do not remove foreign bodies that have penetrated the tire.
- Pull the speed limit sticker off the sealant container and apply it to the steering wheel.
- The use of a sealant can damage the TPM wheel electronics. In this case, have the electronics checked at the next opportunity and have them replaced if needed.Storage

 The mobility system is in the left storage compartment of the cargo area.
Sealant container

 - Sealant container, arrow 1.
- Filling hose, arrow 2.Observe use-by date on the sealant container.
Compressor

 Compressor at a glance
Filling the tire with sealant

 1. Shake the sealant container.
2. Pull filling hose completely out of the cover of the sealant container. Do not kink the hose.
3. Slide the sealing container into the holder on the compressor housing, ensuring that it engages audibly.
4. Screw the filling hose of the sealant container onto the tire valve of the nonworking wheel.
5. With the compressor switched off, insert the plug into the power socket inside the vehicle.
6. With operating readiness switched on or the engine running, switch on the compressor.Enclosed areas
Switch off the compressor after 10 minutes
Let the compressor run for max. 10 minutes to fill the tire with sealant and achieve a tire inflation pressure of approx. 2.5 bar.
While the tire is being filled with sealant, the tire inflation pressure may sporadically reach approx. 5 bar. Do not switch off the compressor at this point.
If a tire inflation pressure of 2 bar is not reached:
1. Switch off the compressor.
2. Unscrew the filling hose from the wheel.
3. Drive 10 m 10 m, approx. 400 inches 33 ft/10 m  forward and back to distribute the sealant in the tire.
4. Inflate the tire again using the compressor.
If a tire inflation pressure of 2 bar cannot be reached, contact your dealer's service center or another qualified service center or repair shop.Stowing the Mobility System

 1. Unscrew the filling hose of the sealant container from the wheel.
2. After pressing the red unlock button on the compressor, remove the sealing container.
3. Wrap the empty sealant container in suitable material to avoid dirtying the cargo area.
4. Stow the Mobility System back in the vehicle.Distributing the sealant

 Immediately drive approx. 10 km 10 km/5 mi 5 miles/10 km  to ensure that the sealant is evenly distributed in the tire.
Do not exceed a speed of 80 km/h 80 km/h/50 mph 50 mph/80 km/h .
If possible, do not drive at speeds less than 20 km/h 20 km/h/12 mph 12 mph/20 km/h .
To correct the tire inflation pressure

 1. Stop at a suitable location.
2. Screw the connection hose of the compressor directly onto the tire valve stem.
3. Insert the connector into the power socket inside the vehicle.
4. Correct the tire inflation pressure to at least 2.0 bar.
- Increase pressure: with operating readiness switched on or the engine running, switch on the compressor.
- To reduce the pressure: press the button on the compressor.Continuing the trip

 Do not exceed the maximum permissible speed of 80 km/h 80 km/h, approx. 50 mph 50 mph/80 km/h .
Reinitialize the Flat Tire Monitor. Reinitialize the Tire Pressure Monitor. Replace the nonworking tire and the sealant container of the Mobility System as soon as possible."
33483983_1002.cml_Fuel_recommendationFuel_quality_0	Fuel recommendation Fuel quality	"General information

 Depending on the region, many gas stations sell fuel that has been customized to winter or summer conditions. Fuel that is available in winter helps make a cold start easier, for example."
33483983_1002.cml_Fuel_recommendationFuel_quality_1	Fuel recommendation Fuel quality	"Information

 General fuel quality"
33483983_1002.cml_Fuel_recommendationFuel_quality_2	Fuel recommendation Fuel quality	"Gasoline

 General information

 For the best fuel efficiency, the gasoline should be sulfur-free or very low in sulfur content.
Fuels that are marked on the gas pump as containing metal must not be used.
Fuels with a maximum ethanol content of 25 %, i. e. E10 or E25, may be used for refueling.
Ethanol should satisfy the following quality standards: US: ASTM 4806–xx CAN: CGSB-3.511–xx xx: comply with the current standard in each case. Fuel that conforms to the specification Brazil ANP xxx can be used in the equipment variant for Brazil. xxx: comply with the current Gasolina C standard in each case. The engine is knock controlled. Therefore, you can refuel with different recommended fuel grades. Information

 Refuel only with unleaded gasoline without metallic additives
Do not use a fuel with a higher percentage of ethanol
Minimum fuel grade
Fuel quality Recommended fuel grade

 Super unleaded, 95 RON. Super unleaded with 95 RON or higher, i.e. 98 RON is possible. include text 81 BMW recommends AKI 91. Recommended fuel grade

 Super Plus, 98 RON. Super unleaded with 95 RON or higher, i.e. 97 RON is possible. BMW recommends AKI 93. Refuel with this gasoline to achieve the rated performance and consumption values. Minimum fuel grade

 Unleaded gasoline, 91 RON. Unleaded gasoline, 90 RON. Unleaded gasoline, 91 RON. BMW recommends AKI 89. If you use gasoline with this minimum AKI Rating, the engine may produce knocking sounds when starting at high outside temperatures. This has no effect on the engine life. Minimum fuel grade

 Super unleaded, 95 RON. Unleaded gasoline, 92 RON. BMW recommends AKI 91. If you use gasoline with this minimum AKI Rating, the engine may produce knocking sounds when starting at high outside temperatures. This has no effect on the engine life. Gasoline additive

 The producer of the vehicle recommends adding 100 ml of approved gasoline additive with each refueling. Information regarding suitable additives can be inquired with a dealer's service center or another qualified service center or repair shop. Diesel

 Information

 Wrong fuel
Diesel quality

 The engine is designed for diesel fuel as per DIN EN 590. include text 225 Low-Sulfur Diesel

 The engine of your BMW is designed for diesel with low sulfur content:
Ultra-Low Sulfur Diesel ASTM D 975-xx.
xx: comply with the current standard in each case.
Use only Ultra-Low Sulfur Diesel.
The fraction of biodiesel in the fuel must not exceed 5 %, referred to as B5. Do not use gasoline. If you do fill the tank with the wrong fuel, e.g., gasoline, do not start the engine as this may damage the engine.
In the case of incorrect refueling, contact a dealer's service center or another qualified service center or repair shop or Roadside Assistance.
If the fuel pump nozzle does not fit in the filler pipe of your BMW, please check to ensure that you are refueling at a diesel fuel pump that is equipped with a diesel fuel pump nozzle.
In the event the Ultra-Low Sulfur Diesel fuel cannot be fully inserted into the fuel filler neck, please contact BMW Roadside Assistance for instructions on how to add fuel. For more information on Roadside Assistance."
33484074_631.cml_Overview_0	Overview	"Cargo area

 Multi-function hook Right storage compartment Lashing eyes Storage compartment Lashing eyes Left storage compartment"
33484103_347.cml_Display_in_the_Head-up_Display_0	Display in the Head-up Display	"The warning is displayed simultaneously in the Head-up Display and on the instrument cluster."
33484368_477.cml_Information_0	Information	"Check the traffic situation as well"
33484690_953.cml_Last_teleservice_call_0	Last teleservice call	"The concept

 The last Service Requests, e.g., the last report to the dealer's service center, can be displayed on the Control Display."
33484690_953.cml_Last_teleservice_call_1	Last teleservice call	"Displaying the last teleservice call

 Check to see when the last teleservice call was transmitted.
About iDrive:
1.  My Vehicle 
2.  Vehicle status 
3.  TeleService Call "
33484930_446.cml_Switching_on/off_0	Switching on/off	"About iDrive:
1.  My Vehicle 
2.  Vehicle settings 
3.  Speed Limit Assist 
4.  Speed Limit Assist Green symbol and operating feedback: symbol and operating feedback are displayed in the instrument cluster with the system and cruise control switched on."
33485744_720.cml_Resetting_the_settings_0	Resetting the settings	"1.  Navigation 
2.  Settings 
3. Press button.
4.  Reset all settings "
33485744_811.cml_Resetting_the_settings_0	Resetting the settings	"1.  Navigation 
2.  Settings 
3. Press button.
4.  Reset all settings "
33485856_298.cml_Head-up_Display_0	Head-up Display	"The concept

 Video: Head-up Display This system projects important information into the driver's field of vision, e.g., the speed.
The driver can get information without averting his or her eyes from the road."
33485856_298.cml_Head-up_Display_1	Head-up Display	"Information

 Follow the instructions for cleaning the Head-up Display."
33485856_298.cml_Head-up_Display_2	Head-up Display	"Overview"
33485856_298.cml_Head-up_Display_3	Head-up Display	"Visibility of the display

 The visibility of the displays in the Head-up Display is influenced by the following factors:
- Certain sitting positions.
- Objects on the cover of the Head-up Display.
- Sunglasses with certain polarization filters.
- Wet roads.
- Unfavorable light conditions.If the image is distorted, have the basic settings checked by a dealer's service center or another qualified service center or repair shop."
33485856_298.cml_Head-up_Display_4	Head-up Display	"Switching on/off

 About iDrive:
1.  My Vehicle 
2.  iDrive settings 
3.  Displays 
4.  Head-Up Display 
5.  Head-Up Display "
33485856_298.cml_Head-up_Display_5	Head-up Display	"Display

 Overview

 The following information is displayed on the Head-up Display:
- Speed.
- Navigation system.
- Check Control messages.
- Selection list in the instrument cluster.
- Driver assistance systems.Some of this information is only displayed briefly as needed.
Selecting displays in the Head-up Display

 About iDrive:
1.  My Vehicle 
2.  iDrive settings 
3.  Displays 
4.  Head-Up Display 
5. Select desired setting.The setting is stored for the drive profile currently used.
View

 Three different views are available for the Head-up Display:
About iDrive:
1.  My Vehicle 
2.  iDrive settings 
3.  Displays 
4.  Head-Up Display 
5. Select desired setting.
-  STANDARD : all displays in the Head-up Display are active.
-  REDUCED : the displays in the Head-up Display are reduced to the absolute necessary.
-  INDIVIDUAL : all displays in the Head-up Display are active. Individual displays, e.g. Check Control messages, can be individually configured.The setting is stored for the drive profile currently used.
Setting the brightness

 The brightness is automatically adjusted to the ambient brightness.
The basic setting can be adjusted manually.
About iDrive:
1.  My Vehicle 
2.  iDrive settings 
3.  Displays 
4.  Head-Up Display 
5.  Brightness 
6. Turn the Controller until the desired brightness is set.
7. Press the Controller.When the low beams are activated, the brightness of the Head-up Display can be additionally influenced using the instrument lighting.
The setting is stored for the drive profile currently used.
Adjusting the height

 About iDrive:
1.  My Vehicle 
2.  iDrive settings 
3.  Displays 
4.  Head-Up Display 
5.  Height 
6. Turn the Controller until the desired height is reached.
7. Press the Controller.The setting is stored for the drive profile currently used.
Setting the rotation

 The screen of the Head-up Display can be rotated around its own axis.
About iDrive:
1.  My Vehicle 
2.  iDrive settings 
3.  Displays 
4.  Head-Up Display 
5.  Rotation 
6. Turn the Controller until the desired setting is selected.
7. Press the Controller.The setting is stored for the drive profile currently used."
33485856_298.cml_Head-up_Display_6	Head-up Display	"Special windshield

 The windshield is part of the system.
The shape of the windshield makes it possible to display a precise image.
A film in the windshield prevents double images from being generated.
For this reason, it is strongly suggested to have the special windshield replaced by a dealer's service center or another qualified service center or repair shop."
33486380_287.cml_Odometer_and_trip_odometer_0	Odometer and trip odometer	"Display

 - Odometer, arrow 1.
- Trip odometer, arrow 2."
33486380_287.cml_Odometer_and_trip_odometer_1	Odometer and trip odometer	"Display/reset miles

 Press the knob.
- With drive-ready state switched off, time, external temperature and odometer are displayed.
- When drive-ready state is switched on, the trip odometer is reset."
33486747_1281.cml_Malfunction_0	Malfunction	"The system is malfunctioning due to external noise interference.
A malfunction can be caused for example by the following:
- Passing vehicles or loud machines.
- Car washes.
- Other ultrasound sources, for example sweeping machines, high pressure steam cleaners, or neon lights.As soon as the malfunction due to external noise interference is no longer present, the system is again fully functional."
33486747_1281.cml_Malfunction_1	Malfunction	"Avoiding automatic PDC activation on obstacle detection

 If necessary, switch off automatic PDC activation, for example in car washes, to reduce false alarms.
About iDrive:
1.  My Vehicle 
2.  Vehicle settings 
3.  Parking 
4.  Automatic PDC activation : only with respective equipment.
5.  Automatic PDC activation The setting is stored for the drive profile currently used."
33486907_959.cml_BMW_ConnectedDrive_Services_0	BMW ConnectedDrive Services	"The concept

 BMW ConnectedDrive Services offer the option to display information, for example regarding the weather or sports, in the vehicle using apps and other functions."
33486907_959.cml_BMW_ConnectedDrive_Services_1	BMW ConnectedDrive Services	"Displaying BMW ConnectedDrive Service apps

 About iDrive:
1.  ConnectedDrive 
2. Select desired app."
33486907_959.cml_BMW_ConnectedDrive_Services_2	BMW ConnectedDrive Services	"Navigation

 - Import trips.
- Information about the Points of Interest. Multimedia

 - Update album information."
33486907_959.cml_BMW_ConnectedDrive_Services_3	BMW ConnectedDrive Services	"Messages

 - My Info Messages."
33486907_959.cml_BMW_ConnectedDrive_Services_4	BMW ConnectedDrive Services	"Profile

 - Export/import driver profile. Export/import driver profile."
33487106_314.cml_Airbags_0	Airbags	"Front airbags

 Front airbags help protect the driver and front passenger by responding to frontal impacts in which safety belts alone would not provide adequate restraint."
33487106_314.cml_Airbags_1	Airbags	"Side airbag

 In a lateral impact, the side airbag supports the side of the body in the chest and lap area."
33487106_314.cml_Airbags_2	Airbags	"Head airbag

 In a lateral impact, the head airbag supports the head.
Ejection Mitigation

 The head airbag system is designed as an ejection mitigation countermeasure to reduce the likelihood of ejections of vehicle occupants through side windows during rollovers or side impact events."
33487106_314.cml_Airbags_3	Airbags	"Knee airbag

 Depending on the equipment: The knee airbag supports the legs in a frontal impact."
